1 input_2_1 AGM6 Test Case.asc  ' AGM6 ' Feb 17 2025 12:34:49
  0  0 69
time,lconv,vmach,pdynmc,VAEL1,VAEL2,VAEL3,psiblx,thtblx,phiblx,alppx,phipx,alphax,betax,ppx,qqx,rrx,SBEL1,SBEL2,SBEL3,dvbe,hbe,psivlx,thtvlx,anx,ayx,vmass,thrust,fmasse,stmarg,realq1,realq2,wnq,zetq,gavail,gmax,trcond,epy,epz,thtpb,psipb,ththb,phihb,sigdpy,sigdpz,ancomx,alcomx,all,ann,psiobcx,thtobcx,wacl,phicomx,dpcx,dqcx,drcx,qqcomx,rrcomx,dpx,dqx,drx,miss,MISS_P1,MISS_P2,MISS_P3,dbt,psiplx,thtplx,critmax,
90.5,0,1.17985,73101.3,-3.99734,8.68578,0.156435,31.1573,-45.9463,-0.0673917,1.51406,-13.4682,1.47177,-0.352434,0.324428,0.0465729,0.319337,32128.3,8966.61,-1675.02,396.867,1675.02,32.675,-47.2766,0.438803,0.113057,1110,0,250.005,0.703848,0,0,5.63711,0.0655594,2.47199,3,0,1.19953e-05,0.000131034,-0.0379004,0.0286962,0.0481331,2.49359,-0.00114368,0.00113707,0.518825,0.115343,0.115343,0.518825,4.17957,-11.3943,2,0,0.000231529,-0.769703,-0.243595,0,0,0.000233472,-0.761509,-0.24314,0,0,0,0,2117.69,0,0,100,
90.6,0,1.17948,73334.1,-4.00744,8.56207,0.105232,31.2034,-45.9405,-0.0679583,1.54092,-13.1501,1.50008,-0.350418,0.327034,0.0617773,0.321334,32150.9,8981.15,-1645.86,396.794,1645.86,32.6998,-47.3122,0.448714,0.112807,1110,0,250.005,0.704615,0,0,5.65208,0.0656476,2.46087,3,0,-0.000269143,8.91863e-05,-0.0380979,0.0282715,0.0472054,2.50291,-0.000668943,0.00119553,0.57679,0.122637,0.122637,0.57679,4.17957,-11.3943,2,0,0.000225874,-0.781996,-0.242367,0,0,0.000227099,-0.774877,-0.242027,0,0,0,0,2078.33,0,0,100,
90.7,0,1.17911,73566.4,-3.92026,8.54308,-0.0730408,31.25,-45.9325,-0.0686215,1.56872,-12.836,1.52918,-0.348386,0.329349,0.106367,0.328259,32173.5,8995.68,-1616.69,396.719,1616.69,32.7245,-47.3466,0.458176,0.112444,1110,0,250.005,0.705396,0,0,5.66715,0.0657353,2.44937,3,0,-0.000160978,0.000103529,-0.0383015,0.0278442,0.0471508,2.51193,-0.00109779,0.00110552,0.52513,0.112051,0.112051,0.52513,4.17957,-11.3943,2,0,0.000226447,-0.793453,-0.240846,0,0,0.000224674,-0.796108,-0.241979,0,0,0,0,2038.97,0,0,100,
90.8,0,1.17874,73798,-4.1562,8.15825,0.174359,31.2974,-45.921,-0.0695901,1.59883,-12.5245,1.56007,-0.346513,0.332088,0.115977,0.330021,32196.1,9010.21,-1587.5,396.641,1587.5,32.7491,-47.3793,0.469739,0.112374,1110,0,250.005,0.706223,0,0,5.68258,0.0658219,2.43698,3,0,-0.000360382,6.64139e-05,-0.0385455,0.0274091,0.0461797,2.52289,-0.000358752,0.00120608,0.615039,0.124429,0.124429,0.615039,4.17957,-11.3943,2,0,0.00023276,-0.815468,-0.240905,0,0,0.000232544,-0.80547,-0.240062,0,0,0,0,1999.62,0,0,100,
90.9,0,1.17836,74028.9,-4.32071,7.85305,0.327775,31.345,-45.9086,-0.0704137,1.62913,-12.2216,1.59034,-0.344423,0.335181,0.12316,0.330999,32218.7,9024.74,-1558.31,396.56,1558.31,32.7737,-47.4106,0.481228,0.11227,1110,0,250.005,0.707046,0,0,5.69796,0.0659086,2.42447,3,0,0.000392311,0.000194953,-0.0388758,0.0269569,0.0473363,2.53548,0.000525484,0.00133916,0.720707,0.140729,0.140729,0.720707,4.17957,-11.3943,2,0,0.000230646,-0.820146,-0.237922,0,0,0.000231803,-0.815983,-0.238076,0,0,0,0,1960.27,0,0,100,
91,0,1.17797,74258.6,-4.35829,7.68431,0.317501,31.3926,-45.896,-0.0709493,1.65692,-11.9273,1.61943,-0.342024,0.337868,0.150421,0.336118,32241.3,9039.27,-1529.11,396.476,1529.11,32.7981,-47.4405,0.489768,0.111542,1110,0,250.005,0.707808,0,0,5.7128,0.0659967,2.41279,3,0,0.000373509,0.000194577,-0.0390637,0.0265291,0.0470692,2.54522,-0.000211144,0.00119308,0.632198,0.1234,0.1234,0.632198,4.17957,-11.3943,2,0,0.000223182,-0.850387,-0.23948,0,0,0.000222821,-0.848351,-0.239991,0,0,0,0,1920.94,0,0,100,
91.1,0,1.17756,74487.2,-4.25769,7.65907,0.131968,31.4417,-45.8778,-0.0722967,1.68793,-11.6383,1.65275,-0.34036,0.340581,0.206319,0.347077,32263.8,9053.79,-1499.91,396.39,1499.91,32.8224,-47.4691,0.501544,0.111384,1110,0,250.005,0.708635,0,0,5.72813,0.0660833,2.3999,3,0,-0.000669066,-1.42845e-05,-0.0394111,0.0260697,0.0461142,2.55786,-0.00178142,0.00084862,0.443947,0.0822444,0.0822444,0.443947,4.17957,-11.3943,2,0,0.000242119,-0.8594,-0.237026,0,0,0.000236885,-0.85964,-0.238085,0,0,0,0,1881.61,0,0,100,
91.2,0,1.17715,74714.5,-4.19598,7.58508,0.00111686,31.4916,-45.8569,-0.0738426,1.72115,-11.3578,1.68722,-0.338857,0.344806,0.203611,0.346299,32286.3,9068.32,-1470.69,396.302,1470.69,32.8467,-47.4959,0.514188,0.111396,1110,0,250.005,0.709502,0,0,5.74376,0.066169,2.38617,3,0,-6.21933e-05,0.000104223,-0.0398208,0.0255959,0.0473075,2.57192,-0.000816986,0.00101898,0.559306,0.103061,0.103061,0.559306,4.17957,-11.3943,2,0,0.000252176,-0.876062,-0.236047,0,0,0.000253021,-0.870648,-0.235922,0,0,0,0,1842.29,0,0,100,
91.3,0,1.17673,74940.4,-4.16657,7.47083,-0.0838853,31.5412,-45.8365,-0.074758,1.7526,-11.0852,1.7196,-0.336855,0.349101,0.202376,0.345877,32308.8,9082.84,-1441.47,396.21,1441.47,32.8708,-47.521,0.525248,0.111023,1110,0,250.005,0.710324,0,0,5.75897,0.0662558,2.37301,3,0,-0.000256082,5.9606e-05,-0.0402102,0.0251242,0.0465035,2.58189,-0.00313823,0.000462806,0.280645,0.0364733,0.0364733,0.280645,4.17957,-11.3943,2,0,0.000240939,-0.891768,-0.234729,0,0,0.00024432,-0.891549,-0.235757,0,0,0,0,1802.98,0,0,100,
91.4,0,1.1763,75164.9,-4.00624,7.48657,-0.330889,31.5908,-45.8165,-0.0752141,1.78364,-10.8202,1.75034,-0.334477,0.352308,0.191734,0.343696,32331.2,9097.36,-1412.25,396.116,1412.25,32.895,-47.5446,0.536974,0.110752,1110,0,250.005,0.711133,0,0,5.77401,0.0663429,2.35993,3,0,-0.000269228,5.07861e-05,-0.0405507,0.0246622,0.0472914,2.59415,0.0015575,0.00152398,0.845474,0.16439,0.16439,0.845474,4.17957,-11.3943,2,0,0.000225664,-0.917162,-0.235683,0,0,0.000230241,-0.905012,-0.233959,0,0,0,0,1763.68,0,0,100,
