1 input_2_1 AGM6 Test Case.asc  Feb 17 2025 12:34:45
  0  0 53
time,vmach_m1,psiblx_m1,thtblx_m1,phiblx_m1,SBEL1_m1,SBEL2_m1,SBEL3_m1,VBEL1_m1,VBEL2_m1,VBEL3_m1,mseek_m1,mach_t1,SAEL1_t1,SAEL2_t1,SAEL3_t1,VAEL1_t1,VAEL2_t1,VAEL3_t1,psivlx_t1,thtvlx_t1,alt_t1,aax_t1,alx_t1,anx_t1,mach_a1,SAEL1_a1,SAEL2_a1,SAEL3_a1,VAEL1_a1,VAEL2_a1,VAEL3_a1,psivlx_a1,thtvlx_a1,alt_a1,STCEL11_a1,STCEL12_a1,STCEL13_a1,VTCEL11_a1,VTCEL12_a1,VTCEL13_a1,STCEL21_a1,STCEL22_a1,STCEL23_a1,VTCEL21_a1,VTCEL22_a1,VTCEL23_a1,STCEL31_a1,STCEL32_a1,STCEL33_a1,VTCEL31_a1,VTCEL32_a1,VTCEL33_a1,
30,1.22943,6.87131,11.9028,0.190691,10046.4,725.236,-7264.17,377.917,61.5558,-41.6892,2,0.0147099,33042.9,9858.52,-100,2.7784,-4.15705,0,-56.2429,-0,100,0,0.01,1,0.951803,8860.38,0,-6854.32,297.79,0,4.97827,0,-0.957746,6854.32,33053.2,9829.23,-95.4053,3.24128,-4.42609,0.414668,0,0,0,0,0,0,0,0,0,0,0,0,
31,1.23935,7.26609,11.7447,0.200495,10425.6,788.256,-7306.1,380.529,64.4945,-42.1284,2,0.01471,33045.7,9854.39,-100,2.8595,-4.10169,0,-55.1177,-0,100,0,0.01,1,0.952263,9158.25,0,-6849.34,297.954,0,4.98101,0,-0.957746,6849.34,33030.6,9852.64,-48.8295,2.07387,-4.14855,-0.877606,0,0,0,0,0,0,0,0,0,0,0,0,
32,1.24936,7.66239,11.5578,0.207717,10807.5,854.249,-7348.36,383.16,67.5012,-42.3559,2,0.01471,33048.6,9850.32,-100,2.93949,-4.04475,0,-53.9925,-0,100,0,0.01,1,0.952724,9456.28,0,-6844.36,298.118,0,4.98374,0,-0.957746,6844.36,33054.7,9832.46,-101.473,3.43188,-3.47065,0.763445,0,0,0,0,0,0,0,0,0,0,0,0,
33,1.25945,8.05258,11.3423,0.213871,11192,923.274,-7390.74,385.816,70.5552,-42.3641,2,0.01471,33051.6,9846.3,-100,3.01836,-3.98625,0,-52.8673,-0,100,0,0.01,1,0.953184,9754.48,0,-6839.38,298.281,0,4.98648,0,-0.957746,6839.38,33050.6,9845.17,-98.4322,2.69454,-4.25588,-0.522364,0,0,0,0,0,0,0,0,0,0,0,0,
34,1.26963,8.44085,11.1054,0.219296,11579.1,995.375,-7433.01,388.497,73.6537,-42.1584,2,0.01471,33054.7,9842.35,-100,3.09605,-3.92621,0,-51.7421,-0,100,0,0.01,1,0.953644,10052.8,0,-6834.39,298.445,0,4.98922,0,-0.957746,6834.39,33062.1,9826.95,-107.711,3.59657,-3.80357,-0.624954,0,0,0,0,0,0,0,0,0,0,0,0,
35,1.27991,8.83285,10.8228,0.224406,11969,1070.6,-7474.98,391.205,76.7957,-41.7337,2,0.01471,33057.8,9838.45,-100,3.17256,-3.86465,0,-50.6168,-0,100,0,0.01,1,0.954104,10351.4,0,-6829.4,298.609,0,4.99196,0,-0.957746,6829.4,33060.9,9857.49,-141.852,3.23562,-4.40248,0.151883,0,0,0,0,0,0,0,0,0,0,0,0,
36,1.2903,9.24493,10.5005,0.229976,12361.6,1148.99,-7516.4,393.949,80.0024,-41.0514,2,0.01471,33061,9834.62,-100,3.24784,-3.80161,0,-49.4916,-0,100,0,0.01,1,0.954564,10650.1,0,-6824.4,298.773,0,4.99469,0,-0.957746,6824.4,33063.3,9846.36,-131.186,3.25739,-3.1507,0.733605,0,0,0,0,0,0,0,0,0,0,0,0,
37,1.30082,9.65564,10.145,0.23272,12756.9,1230.63,-7557,396.721,83.2945,-40.1141,2,0.01471,33064.3,9830.85,-100,3.32187,-3.7371,0,-48.3664,-0,100,0,0.01,1,0.955023,10948.9,0,-6819.41,298.936,0,4.99743,0,-0.957746,6819.41,33067.8,9814.16,-94.9594,2.80274,-3.2148,0.14673,0,0,0,0,0,0,0,0,0,0,0,0,
38,1.31146,10.0535,9.74142,0.23242,13155,1315.6,-7596.53,399.533,86.6436,-38.8984,2,0.01471,33067.7,9827.15,-100,3.39462,-3.67115,0,-47.2412,-0,100,0,0.01,1,0.955483,11247.9,0,-6814.41,299.1,0,5.00017,0,-0.957746,6814.41,33048.7,9839.36,-58.3009,3.17954,-3.82644,0.752607,0,0,0,0,0,0,0,0,0,0,0,0,
39,1.32224,10.4611,9.32649,0.233142,13556,1403.93,-7634.7,402.384,90.0435,-37.3993,2,0.01471,33071.1,9823.51,-100,3.46605,-3.60378,0,-46.116,-0,100,0,0.01,1,0.955943,11547.1,0,-6809.41,299.264,0,5.00291,0,-0.957746,6809.41,33078.8,9831.87,-133.539,2.96716,-3.6295,-0.943102,0,0,0,0,0,0,0,0,0,0,0,0,
40,1.33314,10.8626,8.86741,0.231701,13959.8,1495.7,-7671.25,405.26,93.5062,-35.6492,2,0.01471,33074.6,9819.94,-100,3.53616,-3.53502,0,-44.9908,-0,100,0,0.01,1,0.956402,11846.5,0,-6804.4,299.428,0,5.00565,0,-0.957746,6804.4,33057.5,9848.6,-92.5988,3.50968,-4.40283,-0.112447,0,0,0,0,0,0,0,0,0,0,0,0,
41,1.34418,11.2649,8.3499,0.227423,14366.5,1590.96,-7705.89,408.177,97.0144,-33.5828,2,0.01471,33078.2,9816.44,-100,3.60489,-3.4649,0,-43.8656,-0,100,0,0.01,1,0.956862,12146,0,-6799.4,299.592,0,5.00838,0,-0.957746,6799.4,33081.1,9818.65,-117.522,3.23126,-4.24997,0.00434601,0,0,0,0,0,0,0,0,0,0,0,0,
42,1.35538,11.6798,7.78044,0.221337,14776.1,1689.76,-7738.3,411.128,100.591,-31.1838,2,0.01471,33081.8,9813.01,-100,3.67224,-3.39344,0,-42.7404,-0,100,0,0.01,1,0.957321,12445.6,0,-6794.39,299.755,0,5.01112,0,-0.957746,6794.39,33072.3,9813.93,-83.1727,3.18531,-2.76413,0.133979,0,0,0,0,0,0,0,0,0,0,0,0,
43,1.36672,12.0791,7.1693,0.210247,15188.8,1792.17,-7768.14,414.109,104.241,-28.4318,2,0.01471,33085.5,9809.65,-100,3.73817,-3.32068,0,-41.6152,-0,100,0,0.01,1,0.95778,12745.5,0,-6789.37,299.919,0,5.01386,0,-0.957746,6789.37,33084.6,9817.21,-111.66,3.51431,-3.74329,-0.310377,0,0,0,0,0,0,0,0,0,0,0,0,
