1 input_climb.asc HYPER3 Two-phased climb  ' HYPER3 ' Dec 31 2024 09:11:24
  0  0 23
time,FSPV1,FSPV2,FSPV3,pdynmc,mach,lonx,latx,alt,dvbe,psivgx,thtvgx,SBEG1,SBEG2,SBEG3,VBEG1,VBEG2,VBEG3,throttle,mass,thrust,fmassr,cl_ov_cd,
13.2,27.6303,0,-10.8707,42280.5,0.969292,-80.5188,28.43,3676.87,316.12,90.1144,17.5757,-3.05888,3052.63,-676.867,-0.601705,301.363,-95.4576,2,135430,5.27557e+06,80998.9,0.812587,
13.4,26.6218,0,-11.3519,43499.4,0.98439,-80.5181,28.43,3696.14,320.954,90.116,17.642,-3.18099,3113.36,-696.139,-0.619367,305.859,-97.271,2,135404,5.26628e+06,80973,0.789209,
13.6,25.5994,0,-11.8257,44674.9,0.998868,-80.5175,28.43,3715.78,325.582,90.1176,17.7244,-3.30661,3174.96,-715.777,-0.636799,310.127,-99.1197,2,135378,5.25463e+06,80947.1,0.768901,
13.8,24.5704,0,-12.29,45803.8,1.01272,-80.5169,28.43,3735.79,330.002,90.1193,17.8222,-3.43569,3237.39,-735.789,-0.653978,314.165,-101.002,2,135352,5.24088e+06,80921.3,0.75115,
14,23.0174,0,-12.7199,46883.6,1.02594,-80.5162,28.43,3756.18,334.21,90.1209,17.9348,-3.56818,3300.61,-756.18,-0.670878,317.97,-102.915,1.98152,135326,5.15431e+06,80895.4,0.735551,
14.2,16.6713,0,-12.8478,47735.5,1.03661,-80.5156,28.43,3776.94,337.533,90.1225,18.0556,-3.70392,3364.52,-776.939,-0.686136,320.911,-104.615,1.7808,135302,4.39654e+06,80871.3,0.723813,
14.4,12.5581,0,-12.9444,48289.3,1.04403,-80.5149,28.43,3798.01,339.818,90.1241,18.1794,-3.8425,3428.91,-798.007,-0.699391,322.855,-106.021,1.64704,135280,3.9099e+06,80849.3,0.716064,
14.6,9.91246,0,-13.0196,48648.3,1.04935,-80.5142,28.43,3819.34,341.433,90.1257,18.3057,-3.98359,3493.62,-819.335,-0.711337,324.154,-107.24,1.55964,135260,3.60105e+06,80828.7,0.710696,
14.8,8.20447,0,-12.9622,48880.2,1.05332,-80.5136,28.43,3840.89,342.616,90.1273,18.4322,-4.12698,3558.54,-840.894,-0.722432,325.039,-108.329,1.49482,135240,3.38382e+06,80809.2,0.706906,
15,7.11426,0,-12.902,49029.3,1.05642,-80.5129,28.43,3862.66,343.52,90.129,18.5562,-4.27253,3623.62,-862.66,-0.732981,325.66,-109.32,1.45309,135221,3.24245e+06,80790.3,0.70397,
