1 input_SAM_RF_AC_Radar_#1_#2_#3.asc  Mar  6 2026 15:53:17
  0  0 93
time            lconv           msl_time        mach            pdynmc          
psiblx          thtblx          phiblx          alppx           phipx           
alphax          betax           ppx             qqx             rrx             
SBEL1           SBEL2           SBEL3           dvbe            alt             
psivlx          thtvlx          anx             ayx             mass            
thrust          xcg             ai11            ai33            cyb             
clnb            cna             clma            stmarg_pitch    gavail          
gmax            stmarg_yaw      dbtk            epy             dta             
epz             thtpbx          psipbx          sigdy           sigdz           
thtvlcx         psivlcx         phiblcx         ancomx          alcomx          
gnav_comp       allx            annx            gn              dcvel           
psiflx          ip_sltrange     dvtbc           wacl            zacl            
pacl            wrcl            zrate           wnlagr          ancomx_test     
alcomx_test     dpx             dqx             drx             delx1           
delx2           delx3           delx4           miss            MISS1           
MISS2           MISS3           mode            dbt             psiptx          
thtptx          aztbx           eltbx           dab             ddab            
snr_db          onax            epsic           ethtc           psisb           
thtsb           lamdqb          lamdrb          
-90.0001        45.113          0.0175689       3.63254         0.0188158       
3.63254         0.00119212      -0.0262939      0.108767        -0.000191282    
1.4146e-05      -174.949        -148.277        211.781         148.277         
-90             41.4817         0.516237        -0.000174292    273.414         
31447.5         2.77006         2.66408         365.63          -16.0515        
-4.95305        16.3226         0.745748        -0.0456882      9.97331         
10.486          -0.308573       19239.1         0               1               
0               0               0               0               0               
41.5206         -90.0247        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               49.6996         0.374706        0               0               
0               -0.00203892     0.078852        -0.000169166    0.00220809      
0.0808909       0.00186975      -0.0768131      0               0               
0               0               120021          19238.9         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
53.3            0               2.579           0.654326        29786.5         
-90.0002        45.1238         0.0169312       3.51332         0.018355        
3.51332         0.0011248       0.000260616     0.106469        -0.000190073    
3.83247e-06     -191.195        -162.674        222.361         162.674         
-90             41.6117         0.553477        -0.000182523    272.039         
31452.8         2.76381         2.65658         362.63          -16.0862        
-4.96346        16.3555         0.732417        -0.0447811      11.2583         
11.808          -0.308554       19196.3         0               1               
0               0               0               0               0               
41.6501         -90.0243        -0.000810285    0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               53.525          0.395671        0               0               
0               0.00312851      0.0734967       -0.00016025     -0.00296826     
0.0703682       -0.00328876     -0.0766252      0               0               
0               0               120021          19196.1         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
53.4            0               2.679           0.685618        32644.8         
-90.0002        45.1343         0.0175976       3.39604         0.0191998       
3.39604         0.00113734      0.043123        0.103746        -0.000192341    
-1.01062e-05    -208.199        -177.812        232.95          177.812         
-90.0001        41.7394         0.59039         -0.000203189    270.664         
31458.4         2.75756         2.64908         359.63          -16.12          
-4.97204        16.3884         0.718031        -0.0438133      12.6467         
13.2333         -0.308439       19152.5         0               1               
0               0               0               0               0               
41.7775         -90.024         0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               57.4825         0.416858        0               0               
0               -0.00628577     0.0683486       -0.000152398    0.00643817      
0.0746344       0.00613337      -0.0620628      0               0               
0               0               120021          19152.2         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
53.5            0               2.779           0.716938        35628           
-90.0002        45.1445         0.0176643       3.28058         0.0194478       
3.28058         0.00111291      -0.0358238      0.10061         -0.000196275    
-2.87456e-05    -225.959        -193.692        243.543         193.692         
-90.0001        41.8651         0.626743        -0.000218772    269.289         
31464.3         2.75131         2.64158         356.63          -16.1529        
-4.97863        16.4214         0.702334        -0.0427694      14.1422         
14.765          -0.308218       19107.6         0               1               
0               0               0               0               0               
41.9028         -90.0238        0.000810285     0               0               
0               0               -0              0               0               
0               0               0               0               0               
0               61.5703         0.438257        0               0               
0               -0.00207833     0.0633917       -0.000150304    0.00222864      
0.0654701       0.00192803      -0.0613134      0               0               
0               0               120021          19107.4         0               
0               0               0               0               0               
0               0               0               0               0               
0               0               0               
53.6            0               2.879           0.748271        38733.5         
-90.0002        45.1544         0.0169167       3.16687         0.018884        
3.16687         0.00104323      0.031862        0.0970722       -0.000190533    
-5.2738e-05     -244.472        -210.319        254.134         210.319         
-90.0001        41.9887         0.662313        -0.000224585    267.914         
31470.5         2.74506         2.63408         353.63          -16.1849        
-4.98308        16.4544         0.68512         -0.0416374      15.7479         
16.4062         -0.307884       19061.8         0               1               
0               0               0               0               0               
42.026          -90.0235        -0.000810285    0               0               
